item,Word,VALENCE,AROUSAL,DOMINANCE,NLETTERS,NSYLLABLES,Log_Freq_HAL,Ortho_N,BG_byPOS,CONCRETENESS,Log_Freq_SUBTLEX,LEN_orthoN,LEXFREQ,VALDOM,BGFREQ,CONCRETE
72_DI,puffing,4.06,4.53,5.08,7,2,5.65,-0.69,8.47,3.3,3.5,-0.21,-1.32,-0.22,0.1,-0.03
73_HA,procreation,5.14,6.04,6.67,11,4,6.57,-0.69,9.05,2.71,3.04,0.69,-0.89,0.96,1.67,-0.5
74_LA,commemorate,5.74,2.76,5.7,11,4,6.34,-0.69,8.9,2.2,3.85,0.84,-0.67,0.68,1.3,-0.94
75_DI,requisition,4.71,4.5,5.48,11,4,6.91,-0.69,8.85,2.41,4.04,0.89,-0.36,0.19,1.31,-0.74
76_HA,competitor,4.45,6.32,5.68,10,4,7.56,-0.69,9.01,3.23,4.25,0.75,-0.07,0.13,1.65,0.11
77_LA,ingredient,5.86,2.45,5.85,10,4,7.56,-0.69,8.73,3.84,4.89,1.02,0.07,0.7,1.16,0.79
78_DI,manifesto,4.05,4.59,5.12,9,4,7.15,-0.69,8.79,3.24,3.61,0.7,-0.44,-0.25,1.14,0.08
79_HA,arrest,2.33,6.86,3.11,6,2,8.79,-0.69,8.12,3.93,8.02,0.36,1.47,-2.06,-0.3,0.75
80_LA,bathroom,5.26,2.86,5.25,8,2,8.77,-0.69,8.11,4.52,8.05,0.68,1.3,0.05,-0.17,1.38
81_DI,muscle,6.15,4.55,6.81,6,2,9.14,-0.69,7.98,4.5,6.54,0.47,0.73,1.17,-0.66,1.13
82_HA,ravishing,7.41,6.14,5.9,9,3,4.88,0.41,8.65,2.24,4.37,-0.42,-1.35,1.39,0.98,-0.93
83_LA,resolute,5.95,2.86,5.92,8,3,5.11,-0.69,8.54,1.68,3.43,0.2,-1.51,0.92,0.1,-1.7
84_DI,glorified,5.9,4.59,6.11,9,3,6.72,0.41,8.41,1.76,4.13,-0.22,-0.77,0.95,0.62,-1.6
85_HA,thunderstorm,5.67,6.1,3.5,12,3,5.83,-0.69,8.69,4.83,3.47,0.79,-0.94,-0.45,1.23,2.08
86_LA,buttermilk,5.9,2.77,5.74,10,3,5.66,-0.69,8.73,4.68,4.13,0.49,-0.97,0.72,1.08,1.68
87_DI,mockingbird,6.37,4.62,5.48,11,3,5.47,-0.69,8.72,4.75,4.09,0.62,-1.02,0.77,1.14,1.83
88_HA,celebrate,7.84,6.73,6.12,9,3,8.06,0.41,8.54,2.9,7.15,0.07,0.7,1.46,1,-0.21
89_LA,comfort,7.24,2.76,7.18,7,2,8.78,0.41,8.55,2.89,6.78,-0.56,0.61,1.75,0.77,-0.46
90_DI,confident,7.56,4.62,7.04,9,3,8.61,0.41,8.94,2.62,6.3,-0.22,0.58,1.81,1.72,-0.58
91_HA,horrid,2.68,6,3.67,6,2,6.92,0.41,8.29,2.14,4.83,-0.88,-0.41,-1.47,0.21,-1.24
92_LA,comply,4.25,2.68,4.7,6,2,8.02,0.41,8.58,2.19,4.77,-0.93,-0.13,-0.45,0.71,-1.18
93_DI,rampant,4.4,4.5,4.5,7,2,7.46,0.41,8.16,2.25,3.89,-0.63,-0.62,-0.42,0.02,-1.14
94_HA,jazz,6.57,6.05,6.42,4,1,9.53,-0.69,6.11,3.9,6.41,1.04,0.51,1.24,-4.45,0.13
95_LA,item,5.29,2.9,5.5,4,2,10.47,0.41,6.22,4.41,6.44,0.64,1,0.28,-3.42,0.79
96_DI,pizza,7.89,4.58,5.47,5,2,8.61,-0.69,6.62,5,7.44,1.31,0.74,1.17,-3.27,1.66
97_HA,siren,3.8,6.1,4.88,5,2,6.57,0.41,8.02,4.45,5.81,-0.73,-0.34,-0.53,-0.13,1.17
98_LA,granny,5.71,2.38,5,6,2,6.37,0.41,8.14,4.24,6.06,-0.62,-0.36,0.2,0.06,1.07
99_DI,greasy,2.94,4.55,3.88,6,2,6.94,0.41,8.07,3.82,5.29,-0.66,-0.27,-1.31,0.02,0.56
100_HA,avenge,4.05,6.35,5.92,6,2,5.6,0.41,7.41,2.07,5.04,-0.45,-1.06,0.23,-1.51,-1.58
101_LA,drowsy,4.25,2.83,3.47,6,2,5.33,0.92,7.76,2.62,3.61,-1.01,-1.5,-0.9,-0.59,-0.71
102_DI,rascal,4.6,4.5,4.12,6,2,5.77,0.41,7.9,2.62,5.3,-0.63,-0.77,-0.53,-0.57,-0.71
103_HA,parenthood,6.05,6,5.38,10,3,7.07,-0.69,8.73,2.55,3.69,0.54,-0.61,0.61,0.84,-0.63
104_LA,formulate,5.22,2.64,5.46,9,3,7.07,-0.69,8.69,2.59,3.4,0.39,-0.72,0.36,0.71,-0.67
105_DI,misconduct,3.55,4.59,5.16,10,3,6.77,-0.69,8.47,2.19,3.69,0.56,-0.65,-0.35,0.43,-1.14
106_HA,action,6,6.19,6.17,6,2,11.26,-0.69,7.72,2.86,8.04,0.84,2.01,0.74,-1.24,-0.63
107_LA,extra,6.39,2.9,5.72,5,2,10.93,-0.69,7.69,2.46,8.01,0.73,1.86,0.66,-1.48,-1.04
108_DI,suspect,2.39,4.57,3.22,7,2,10.21,-0.69,8.08,2.59,7.72,0.56,1.88,-1.98,-0.4,-0.72
109_HA,caffeine,6.74,6.23,5.68,8,2,8.08,-0.69,8.5,4.04,5.01,0.28,-0.03,0.89,0.34,0.87
110_LA,northwest,5.81,2.71,4.9,9,2,8.78,-0.69,8.68,3.59,5.32,0.33,0.45,0.15,0.78,0.47
111_DI,cuisine,6.88,4.51,5.75,7,2,6.91,-0.69,8.42,3.7,4.6,0.09,-0.63,1.03,-0.01,0.47
112_HA,seducer,3.84,6.33,5.57,7,3,3.58,0.92,8.34,2.36,3,-1.13,-2.26,0.05,0.59,-1.03
113_LA,nunnery,4.25,2.78,4.77,7,3,4.26,0.41,8.42,3.5,3.14,-0.69,-1.89,-0.26,0.63,0.29
114_DI,palpable,4.85,4.59,5.37,8,3,5.36,0.41,8.21,2.52,3.04,-0.38,-1.58,0.27,0.24,-0.82
115_HA,genius,7.52,6.2,7.37,6,2,8.77,-0.69,7.67,3,7.48,0.67,0.81,1.97,-1.49,-0.52
116_LA,asleep,6.5,2,4.33,6,2,8.6,-0.69,7.1,3.71,7.84,1.09,1.05,0.1,-2.4,0.42
117_DI,habit,5.2,4.55,5.67,5,2,8.78,-0.69,7.6,2.76,6.6,0.5,0.65,0.33,-1.65,-0.78
118_HA,abrasive,4.26,6.1,4.94,8,3,6.36,-0.69,7.71,3.03,3.14,0.79,-1.1,-0.16,-1.1,-0.36
119_LA,syllable,4.95,2.5,5.7,8,3,7.02,-0.69,8,3.26,3.74,0.71,-0.71,0.4,-0.54,-0.1
120_DI,breakaway,4.67,4.6,5.81,9,3,6.41,-0.69,8.04,2.78,3.53,0.71,-0.97,0.4,-0.44,-0.61
