item,Word,VALENCE,AROUSAL,DOMINANCE,NLETTERS,NSYLLABLES,Log_Freq_HAL,Ortho_N,BG_byPOS,CONCRETENESS,Log_Freq_SUBTLEX,LEN_orthoN,LEXFREQ,VALDOM,BGFREQ,CONCRETE
166_HA,attack,2,7.05,3.39,6,2,10.74,0.41,6.98,3.71,8.26,0.42,2.07,-2.02,-1.74,0.3
167_LA,accept,6.39,2.8,5.94,6,2,10.81,0.41,7.18,3.03,7.9,0.38,1.68,0.81,-1.67,-0.47
168_DI,buddy,7.41,4.57,6.24,5,2,9.03,0.92,7.12,3.48,8.57,-0.13,1.16,1.34,-1.67,0.05
169_HA,outrage,2.97,6.52,4.8,7,2,7.48,-0.69,7.99,2.45,5.08,0.24,-0.12,-0.8,-0.74,-1.03
170_LA,boredom,2.77,2.58,5.04,7,2,7.3,-0.69,8.28,1.96,4.69,0,-0.3,-0.75,-0.28,-1.56
171_DI,extinct,2.74,4.55,3.42,7,2,7.47,-0.69,8.1,2.53,4.85,0.2,-0.1,-1.58,-0.53,-0.82
172_HA,thrill,7.37,7.19,6.09,6,1,7.85,0.41,7.84,2.46,6.06,-0.71,-0.11,1.34,-0.84,-1.01
173_LA,pause,5.53,2.57,6.35,5,1,8.48,1.25,7.92,2.38,5.62,-1.52,-0.07,0.81,-0.26,-1.22
174_DI,blunt,4.65,4.61,5.63,5,1,7.45,0.92,7.66,3.07,5.52,-1.21,-0.39,0.17,-0.81,-0.48
175_HA,gunfire,2.79,6.91,3.75,7,3,6.38,-0.69,7.69,4.66,5.58,0.82,-0.16,-1.4,-0.93,1.49
176_LA,janitor,4.86,2.3,5.36,7,3,6.35,-0.69,8.14,4.68,5.68,0.59,-0.27,0.1,-0.2,1.52
177_DI,firewood,6.09,4.58,5.95,8,3,5.8,-0.69,7.83,4.93,4.34,0.83,-0.99,0.92,-0.73,1.75
178_HA,inconvenience,3.05,6.26,3.6,13,4,7.79,-0.69,8.65,1.73,5.42,1.36,0.63,-1.36,1.19,-1.33
179_LA,predictable,5.25,2.86,6.64,11,4,7.87,0.41,8.67,1.63,5.04,0.32,0.14,0.92,1.48,-1.67
180_DI,incompetent,2.77,4.5,2.81,11,4,7.71,-0.69,8.62,2.03,5.27,1.14,0.55,-1.87,0.97,-1.01
181_HA,eruption,4.74,6.09,2.82,8,3,7.97,-0.69,8.02,3.56,3,0.82,-0.44,-1.13,-0.44,0.46
182_LA,chromium,4.8,2.9,5.08,8,3,8.4,-0.69,7.82,4.33,3.5,0.96,-0.26,-0.01,-0.67,1.06
183_DI,aerospace,5.79,4.52,5.17,9,3,8.18,-0.69,7.97,3.19,4.01,1,-0.17,0.4,-0.5,-0.07
184_HA,perky,6,6.57,5.75,5,2,5.87,1.5,7.91,3.07,4.44,-1.53,-1.28,0.78,-0.1,-0.34
185_LA,misty,5.14,2.5,5,5,2,6.85,1.25,8.31,3.37,4.38,-1.52,-0.83,0.04,0.61,0.06
186_DI,ailing,2.95,4.52,4.15,6,2,5.66,1.5,8.11,2.81,3.26,-1.69,-1.52,-1.05,0.45,-0.57
187_HA,execution,2.28,6,3.27,9,4,9.06,-0.69,8.3,3.93,6.21,1.28,1.27,-1.93,0.53,0.89
188_LA,sanctuary,7.05,2.64,6.15,9,4,8.66,-0.69,8.26,3.64,5.39,1.34,0.51,1.25,0.17,0.49
189_DI,radiation,3.32,4.56,4.06,9,4,8.95,-0.69,8.49,3.43,6.04,1.15,1.1,-1.16,0.75,0.35
190_HA,passion,7.53,6.08,6.23,7,2,8.76,-0.69,8.32,2.3,6.92,0.38,0.76,1.4,-0.31,-1.06
191_LA,counsel,5.48,2.86,5.19,7,2,8.41,-0.69,8.71,2.48,6.59,0.05,0.68,0.15,0.5,-0.8
