Name,Count
Beant,1
Bear,8
Beathan,1
Beau,8
Beauden,3
Beckett,1
Beinn,2
Ben,88
Benas,1
Benedict,1
Benedikt,1
Beniamin,2
Benjamin,94
Benji,1
Bennett,1
Benny,2
Bentley,5
Bentley-Alexander,1
Bento,1
Berat,1
Beren,1
Berkan,1
Bernard,1
Bert,1
Bertie,1
Bevan,1
Bhavyan,1
Bhraidain,1
Bhreac,1
Bilal,1
Bilisuma,1
Bill,1
Billiejoe,1
Billy,16
Bilsland,1
Binyamin,1
Bjorn,2
Blain,1
Blaine,5
Blair,93
Blaire,1
Blaise,1
Blake,109
Blane,3
Blaney,1
Blayke,1
Blayre,1
Blayton,1
Blaze,1
Blazej,1
Bleu,3
Blithe,1
Blue,2
Blyth,1
Blythe,1
Bo,2
Boaz,3
Bobby,20
Bobi,1
Bodhi,14
Bodi,1
Bodie,3
Bogdan,3
Bonham,1
Boris,1
Borys,5
Bos,1
Boston,1
Botond,1
Bowen,1
Bowie,4
Boyd,2
Braddock,1
Braden,1
Bradleah,1
Bradley,33
Brady,7
Brae,2
Braeden,1
Braedon,1
Braeghen,1
Braelen,1
Braiden,3
Braidyn,1
Bram,2
Bran,1
Branden,1
Brandon,13
Brannon,1
Brax,2
Braxton,2
Braxton-James,1
Braxtyn,1
Bray,1
Brayan,1
Braydan,2
Brayden,11
Braydon,1
Breccan,1
Breckin,1
Bremy,1
Brendan,10
Brenden,1
Brennan,1
Brett,2
Brian,8
Broc,1
Brochan,1
Brock,1
Brodan,1
Brodee,1
Broden,6
Broderick,1
Brodey,1
Brodi,2
Brodie,192
Brody,54
Brogan,4
Brook,2
Brooklyn,9
Brooks,1
Bruc,1
Bruce,8
Bruk,1
Brunel,1
Bruno,8
Bryan,4
Bryce,9
Brydon,2
Bryn,1
Brynjar,1
Bryson,5
Buddy,3
Buster,3
Buzz,1
Byron,1
C'jay,1
Cabe,1
Cabe-James,1
Caben,3
Cabhan,1
Cade,2
Caden,8
Caelan,20
Caelen,5
Caelin,1
Caelum,1
Caelyn,1
Caeryn,1
Cahl,1
Cai,3
Caiben,2
Caibyn,1
Caiden,18
Caiden-James,1
Caidyn,1
Cailan,2
Cailean,12
Cailein,1
Cailen,2
Cailin,1
Cain,8
Cainen,1
Caio,1
Cairn,9
Cairns,1
Cairo,3
Caisson,1
Cal,3
Calan,4
Calder,2
Caleb,138
Caleb-James,1
Caleb-Ray,1
Calen,2
Calin,1
Calinzi,1
Callan,72
Callen,22
Callin,2
Callum,156
Calton,1
Calub,1
Calum,53
Calum-Iain,1
Calvin,57
Calvin-Junior,1
Calyn,1
Camden,2
Cameron,175
Cameron-James,1
Camhanaich,1
Cammi,1
Cammy,3
Campbell,18
Can,1
Caoimhin,2
Caolan,1
Carey,1
Carl,1
Carlo,6
Carlos,1
Carlyle,1
Carrick,5
Carson,60
Carson-Alexander,1
Carter,113
Carter-Jacob,1
Carter-Jay,1
Carwyn,1
Cas,2
Casen,2
Casey,14
Casey-Jace,1
Cash,2
Cashen,1
Casian,1
Casimir,1
Cason,1
Caspar,1
Casper,5
Caspian,4
Cass,2
Cassian,3
Cassius,5
Catalin,2
Cathan,1
Cathel,1
Cavan,1
Cayd,1
Cayde,4
Cayden,14
Cayson,1
Cayson-Lee,1
Ceadda,1
Cealan,1
Cearney,1
Cedar,1
Cedric,1
Ceejay,3
Chael,1
