Name,Count
Anessa,1
Angel,5
Angel-Chidinma,1
Angel-Esther,1
Angel-Leigh,1
Angel-Rain,1
Angel-Rose,1
Angela,5
Angelica,2
Angelina,2
Anh,1
Ania,2
Aniella,1
Anika,1
Anina,1
Anisa,1
Anisha,1
Anisia,2
Anissa,1
Anita,3
Aniya,1
Anja,4
Ann,1
Ann-Marie,1
Anna,156
Anna-Fay,1
Anna-Katerina,1
Anna-Lise,1
Anna-Maria,2
Anna-May,2
Anna-Rose,1
Annabel,15
Annabell,1
Annabella,6
Annabelle,37
Annabeth,1
Annag,1
Annalina,1
Annalise,9
Annalize,1
Annalyse,2
Annastasia,1
Anne,3
Anne-Marie,1
Anneta,1
Annette,1
Annicia,1
Annie,41
Annie-Rose,1
Annika,5
Annina,1
Annisa,1
Annya,1
Anouk,1
Antonella,1
Antonia,5
Antonina,7
Anugraha,1
Anuja,1
Anum,1
Anusha,1
Anvika,1
Anya,20
Anyah,1
Anzhi,1
Aoibhinn,2
Aoife,37
Aphrodite,2
April,33
Aqsa,1
Ara,2
Arabella,23
Araina,1
Araoluwa,1
Ararose,1
Aratrika,1
Araya,1
Arayah,2
Arden,1
Ardyn,1
Areena,1
Arfa,1
Ari,1
Aria,272
Aria-Ann,1
Aria-Belle,1
Aria-Hope,1
Aria-Rose,5
Aria-Violet,2
Ariaa,1
Ariadne,2
Ariah,15
Ariah-Grace,1
Arialeigh,1
Ariana,45
Ariane,2
Ariann,1
Arianna,33
Ariannah,1
Arianne,2
Aridunnu,1
Ariebella,1
Ariel,3
Ariela,3
Ariele,1
Ariell,1
Ariella,23
Arielle,2
Arielle-Rose,1
Arife,1
Arijiele,1
Arina,4
Ariya,12
Ariya-Rayne,1
Ariyah,7
Ariyana,2
Arizona,3
Arla,11
Arla-Rose,1
Arlah,1
Arlay,1
Arlie,1
Arlo,2
Arlow,1
Arlyn,1
Armaal,1
Armelle,1
Aroa,1
Arrabella,1
Arrabelle,1
Arria,2
Artemees,1
Artemis,2
Arunaseva,1
Arwa,3
Arwen,11
Arwyn,1
Arya,37
Arya-Grace,2
Aryah,3
Aryana,1
Aryia,3
Arysa,1
Ascia,1
Asdis,1
Aseel,2
Asha,1
Ashira,1
Ashleigh,2
Ashlesha,1
Ashley,5
Ashlyn,1
Asia,2
Asina,1
Asiya,2
Asiyah,2
Aslihan,1
Aspen,3
Aspyn-Milania,1
Asta,1
Aster,2
Astra,1
Astrid,16
Asuna,1
Aten,1
Athena,9
Athina,1
Atlanta,2
Aubray,1
Aubree,5
Aubrey,11
Auden,1
Audrey,6
Audrianna,1
August,1
Aura,4
Auralei,1
Aure,1
Aurelia,11
Aurelie,1
Aurey,1
Auriah,1
Auriana,1
Aurla,11
Aurlah,2
Aurora,47
Aurora-Rose,1
Auryn,1
Austyn,1
Autumn,28
Ava,292
Ava-Elizabeth,1
Ava-Grace,6
Ava-Lilly,1
